#,Pair,Amount,Price,Fee,FeeCurrency,Date
220358147,BTC/USD,-1.0,6850.0,-6.85,USD,2018-03-31 00:00:56
220569450,BTC/USD,-1.0,7150.0,-14.3,USD,2018-03-31 10:50:55
220636332,BTC/USD,2.0,7003.0,-14.006,USD,2018-03-31 14:37:04
220664794,BTC/USD,-0.24940418,7137.8,-1.78019716,USD,2018-03-31 16:20:50
220664805,BTC/USD,-0.1,7137.8,-0.71378,USD,2018-03-31 16:20:55
220664810,BTC/USD,-0.1,7137.8,-0.71378,USD,2018-03-31 16:21:00
220664827,BTC/USD,-0.02549064,7137.8,-0.18194709,USD,2018-03-31 16:21:07
220664860,BTC/USD,-0.02262408,7137.8,-0.16148616,USD,2018-03-31 16:21:10
220664862,BTC/USD,-0.05814969,7137.8,-0.41506086,USD,2018-03-31 16:21:13
220664874,BTC/USD,-0.03223,7137.8,-0.23005129,USD,2018-03-31 16:21:18
220664878,BTC/USD,-0.1,7137.8,-0.71378,USD,2018-03-31 16:21:19
220664879,BTC/USD,-0.0395362,7137.8,-0.28220149,USD,2018-03-31 16:21:19
220664883,BTC/USD,-0.02041926,7137.8,-0.14574859,USD,2018-03-31 16:21:21
220664884,BTC/USD,-0.39787107,7137.8,-2.83992412,USD,2018-03-31 16:21:21
220664886,BTC/USD,-0.03246739,7137.8,-0.23174574,USD,2018-03-31 16:21:21
220664887,BTC/USD,-0.02699754,7137.8,-0.19270304,USD,2018-03-31 16:21:21
220664888,BTC/USD,-0.1251754,7137.8,-0.89347697,USD,2018-03-31 16:21:21
220664889,BTC/USD,-0.03016781,7137.8,-0.21533179,USD,2018-03-31 16:21:21
220664890,BTC/USD,-0.01231793,7137.8,-0.08792292,USD,2018-03-31 16:21:21
220664893,BTC/USD,-0.04913624,7137.8,-0.35072465,USD,2018-03-31 16:21:22
220664894,BTC/USD,-0.198,7137.8,-1.4132844,USD,2018-03-31 16:21:22
220664895,BTC/USD,-0.06256288,7137.8,-0.44656132,USD,2018-03-31 16:21:22
220664898,BTC/USD,-0.198,7137.8,-1.4132844,USD,2018-03-31 16:21:22
220664905,BTC/USD,-0.11944969,7137.8,-0.852608,USD,2018-03-31 16:21:23
220676904,BTC/USD,1.999,7101.8,-14.1964982,USD,2018-03-31 17:12:44
220677441,BTC/USD,0.00099999,7113.8,-0.01422746,USD,2018-03-31 17:13:17
220827720,BTC/USD,2.0,6838.5,-13.677,USD,2018-04-01 06:46:16
220832460,BTC/USD,-0.208,6808.1,-2.8321696,USD,2018-04-01 07:11:19
220832461,BTC/USD,-0.07343923,6808.1,-0.99996324,USD,2018-04-01 07:11:19
220832462,BTC/USD,-0.01171303,6808.1,-0.15948696,USD,2018-04-01 07:11:19
220832511,BTC/USD,-1.70584774,6807.8,-11.61307024,USD,2018-04-01 07:11:21
220833707,BTC/USD,-0.001,6802.0,-0.013604,USD,2018-04-01 07:11:35
220834414,BTC/USD,-2.0,6801.0,-27.204,USD,2018-04-01 07:11:52
220837462,BTC/USD,1.14951039,6785.6,-7.8001177,USD,2018-04-01 07:16:06
220837463,BTC/USD,0.85048961,6786.1,-11.54301508,USD,2018-04-01 07:16:06
220837999,BTC/USD,-2.0,6772.1,-13.5442,USD,2018-04-01 07:17:43
220841041,BTC/USD,2.0,6739.0,-13.478,USD,2018-04-01 07:23:49
220844331,BTC/USD,-2.60787719,6735.4,-17.56509603,USD,2018-04-01 07:27:23
220844346,BTC/USD,-0.05502125,6735.4,-0.37059013,USD,2018-04-01 07:27:24
220844351,BTC/USD,-0.33710156,6735.4,-2.27051385,USD,2018-04-01 07:27:25
220858900,BTC/USD,2.31111215,6689.0,-30.91805834,USD,2018-04-01 07:55:38
220858969,BTC/USD,0.08979724,6690.0,-1.20148707,USD,2018-04-01 07:55:51
220858970,BTC/USD,0.59809061,6690.0,-8.00245236,USD,2018-04-01 07:55:51
220859078,BTC/USD,0.001,6695.8,-0.0133916,USD,2018-04-01 07:56:06
220859546,BTC/USD,3.0,6701.0,-20.103,USD,2018-04-01 07:57:01
220863815,BTC/USD,-0.3,6727.5,-4.0365,USD,2018-04-01 08:10:29
220863816,BTC/USD,-2.0,6727.5,-26.91,USD,2018-04-01 08:10:29
220863817,BTC/USD,-0.699,6727.5,-9.405045,USD,2018-04-01 08:10:29
220863867,BTC/USD,-0.001,6725.0,-0.01345,USD,2018-04-01 08:10:41
220864637,BTC/USD,-0.205,6698.2,-2.746262,USD,2018-04-01 08:12:52
220864638,BTC/USD,-0.80983217,6698.2,-10.84883568,USD,2018-04-01 08:12:52
220864639,BTC/USD,-1.98516783,6698.2,-26.59410232,USD,2018-04-01 08:12:52
220868787,BTC/USD,-1.24579369,6708.1,-16.7138173,USD,2018-04-01 08:33:04
220868788,BTC/USD,-0.35440631,6708.1,-4.75478594,USD,2018-04-01 08:33:04
220872704,BTC/USD,0.07457622,6708.1,-1.00052948,USD,2018-04-01 08:48:55
220875698,BTC/USD,0.1,6682.6,-0.66826,USD,2018-04-01 09:01:25
220875701,BTC/USD,4.42552378,6682.6,-29.57400521,USD,2018-04-01 09:01:25
